Companies,URL,Description,Industry,Sub-Industry,Expert Collections,Markets,Mosaic (Overall),Country,Total Funding (M),All Investors,Latest Funding Amount (M),Latest Funding Round,Latest Funding Date,Total Headcount,12 Month Headcount Change %,Company Status,Founded Year,Your Collections,Team Tag
Scientific Applications & Research Assoc.,scientific.gr,"Scientific Applications & Research Assoc. is a company that received a Department of Defense SBIR/STTR grant for a project entitled: Radio Frequency External Load Position Monitoring System.  The abstract given for this project is as follows: A common mission for helicopters is to move heavy loads suspended on a cable attached to a hook or winch system. During flight, the aerodynamic and inertial forces acting on the load can cause it to swing in the lateral and/or longitudinal directions. Load pendulum motions can also be excited as the helicopter maneuvers, potentially leading to dangerous situations resulting in loss of the load or endangering the helicopter and its crew. Modern manned and unmanned helicopters replace manual controls with fly-by-wire control systems that improve flight stability and reduce pilot workload by using feedback loops to compensate for changes in flight dynamics. SARA's proposed Radio Frequency External Load Position Monitoring System uses an array of receiver antennas mounted on the helicopter lower fuselage to track dynamic motion of two small, low-power radio transmitters located on the load to provide accurate, reliable load dynamic motion feedback under all visibility conditions, including brown-out. This compact (<5 lbs) system uses proprietary superresolution pointing algorithms to provide angular measurement accuracy of better than 0.1 degree. Existing flight-proven hardware will enable demonstration of measurement range and accuracy during Phase I and speed transition to an operational system in Phase II

Scientific Applications & Research Assoc. is a company that received a Department of Defense SBIR/STTR grant for a project entitled: Innovative Millimeter-Wave Imaging System for Detecting Metal Defects through Polyurethane Coatings.  The abstract given for this project is as follows: A continuing theme in shipboard monitoring is the need to inspect hulls of boats and submarines for signs of metal fatigue, typically manifesting as weld breaks, corrosion, and for submarines, metal-polymer debonding. Visual inspection remains the most reliable diagnostic, but is cumbersome if paint or plastic must be removed to reach the metal. Non- invasive diagnostics have problems too: eddy-current monitoring is reliable for weld fatigue, but not for corrosion onset or debonding, and polymers are opaque to ultrasound. Because missing a defect is unacceptable, existing non-visual methods are inherently slow. SARA proposes a millimeter-wave (MMW) imaging system, based on the science used for airport body scanners, to inspect welds without needing to remove the insulating layer. Because structural polymers typically have windows of transparency in the MMW domain, this technology provides rapid 'see-thru' imaging of metal and associated defects in steel (such as those in butt/fillet welds, and corrosion onset). Stand-off scanning of a MMW imager will enable the Navy to localize weld joints and corrosion on quarter-wave scales (1mm or less), and will detect hairline cracks of even smaller scale. Debonding will be measured by phase rotation of multipath reflection, which only occurs when an air/water gap is present.

Scientific Applications & Research Assoc. is a company that received a Department of Defense SBIR/STTR grant for a project entitled: Bioweapon Identification and Triggering by Ionization Signatures.  The abstract given for this project is as follows: Modern bioweapon detection systems are highly accurate, but require expensive reagents to operate. To reduce costs, a less discriminate trigger system is used to signal the primary detector when a suspicious aerosol is present. Currently deployed UV fluorescence based trigger systems operate successfully, but only work with fluorescent bioweapons. An advanced technology is urgently needed to address bioweapon threats that do not fluoresce under UV light. The measurement of the ionization signatures of bioaerosol particles created by an electrostatic field is a technology that offers a solution. Aerosol is passed through a high intensity electric field that ionizes the particles and leaves them electrically charged in a unique pattern. The particles are then impacted on an electrode and the resulting current flows are measured. The relatively weak electrical signals are then analyzed with a suite of higher order statistical and spectral methods termed Fluctuation Enhanced Sensing (FES). The calculated FES parameters are examined and searched for known patterns indicating the presence of a dangerous aerosol. Once a probable threat is detected, the trigger system signals the main detection system to sample the air and make a more accurate discrimination.

Scientific Applications & Research Assoc. is a company that received a Department of Defense SBIR/STTR grant for a project entitled: RCS-Reduction and EMI-Suppression Technology for HPM Antennas.  The abstract given for this project is as follows: Successful platform-integration of high power microwave (HPM) directed energy weapons (DEW) poses very demanding challenges. Unwanted radiation (near-field and far-field) and surface currents locally induced around HPM aperture boundaries raise serious risks of suicide (effects upon the host platform) and fratricide (effects upon nearby friendly or non-targeted systems). These risks must be addressed, and substantially reduced, before such systems can be operated and fielded with confidence. In addition, the nature of anticipated HPM-based missions is such that avoidance of radar detection (or at least, identification) of the platform is highly desirable. Unfortunately, high-gain HPM antennas can exhibit large radar cross sections (RCS) that enhance both detection and identification. Established antenna RCS-suppression techniques, which operate primarily as frequency filters (i.e., frequency selective surfaces, or FSS) tend to concentrate electric fields at dense arrays of locations across apertures. For an HPM- transmitting aperture, this encourages breakdown and severely limits realizable output power per area. We propose to develop practical, realizable, innovative engineering solutions to both types of problems via a methodical program of analyses, modeling, design, and experimentation that will: (1) extend usable FSS RCS-reduction technology into the HPM-capable domain; and (2) establish novel and effective platform- and HPM- compatible EMI-suppression methods.BENEFIT:HPM-compatible RCS-reduction and EMI-suppression are essential enabling technologies for successful military applications of HPM-based directed energy weapons (DEW). Technology resulting from this project will speed advancement/transition of HPM-based directed energy weaponry from the laboratory to the warfighter. Commercial technology spinoffs and applications in EMI suppression are also possible.

Scientific Applications & Research Assoc. is a company that received a Department of Defense SBIR/STTR grant for a project entitled: Small UAV Accurate Geolocation and Discrimination.  The abstract given for this project is as follows: The system-level design of a geolocation system for detecting and locating RF emitters on a small, unmanned aerial vehicle (SUAV) will be competed. The design will include system-level design, sensor subsystem design, RF receiver subsystem design, DSP subsystem design, and geolocation algorithms. The COTS components necessary to fabricate the system under the Phase II program will be identified. A mission-level simulation will be developed so that the systems accuracy can be evaluated. The simulation will allow for characterizing the systems geolocation performance with multiple emitters and various emitter locations. System fabrication and integration onto an Air Force platform will be done during Phase II. Field testing will be conducted during Phase II to demonstrate and quantify the systems geolocation performance.BENEFIT:Miltary uses of this system include locating enemy communication radios, cell phones, data links, jammers, remote detonation transmitters, and radars. Specific applications include Blue Force tracking or Combat Search and Rescue. The technology is platform independent and could be used on manned airplanes, helicopters, tanks, APCs, and as a hand-held unit for troops. For civialian applications, DHS has tasked the FAA to address the risk of US airports being disrupted by RF emitters such as GPS jammers in the midcourse and approach airspaces. A hand-held variant of this system could readily assist DHS enforcement teams in locating such devices. Smaller low cost units could be used at each airport for monitoring FAA communication channels to ensure flight safety. Additional civilian applications include distress situations to locate boaters for USCG Rescue 21 type applications, hikers using their cell phone, and enhanced 911 applications.

Scientific Applications & Research Assoc. is a company that received a Department of Defense SBIR/STTR grant for a project entitled: Autonomous Control Technologies for Terminal Area Operations.  The abstract given for this project is as follows: Autonomous Unmanned Aerial Vehicle (UAV) participation in controlled airspace requires that the UAV behave just as a human-piloted aircraft. Forward airbases with Air Traffic Control (ATC) can be complex when considering ATC commands, localization in a GPS denied environment, flight restrictions, FAA rules, and dynamic obstacles. SARA proposes a behavior-based system that deconfliction these complexities, allowing the UAV to operate safely in the Terminal Area of Operations (TAO). The proposed behavior-based ""Autonomous Pilot"" uses concurrent simple behaviors to produce emergent complex behaviors. An objective function based solver calculates weights and preferred actions of the individual behaviors to arbitrate an optimum vehicle action. To facilitate development and eventual transfer of the Autonomous Pilot to actual UAV hardware, SARA proposes a modular control architecture. Our proposed ""Autonomous Pilot- Multi-Objective Deconfliction"" (APMOD) system is based on the ""Mission Oriented Operating Suite"" (MOOS) architecture. The modularity allows simulation modules during the development phase to be replaced with hardware integration modules as the program develops into hardware-in-the-loop solutions and eventually into actual UAV platforms.

Scientific Applications & Research Assoc. is a company that received a Department of Defense SBIR/STTR grant for a project entitled: Advanced Hemispherical Reflectance Measurement of Heated Materials.  The abstract given for this project is as follows: Measurements of Total Hemispherical Reflectance under high temperature conditions are needed for accurate assessment of lethality functions of the ABL program. During engagement by high power lasers, the surface temperature of solid targets changes rapidly causing drastic variations in the absorption and reflection characteristics. Current hemispherical reflectance measurement systems cannot perform under such fast heating rates (100 degrees per second). SARA's proposed methodologies to address this shortcoming will be addressed by investigating alternative techniques aimed at measuring Total Hemispherical Reflectance. In particular, we will demonstrate the possibility of measuring the Bi-directional Reflectance Distribution Function (BRDF) of a target under the fast heating rates of interest. Hardware and methodologies to perform such measurement will be presented and the BRDF of representative military targets (4130 steel and 6061 Aluminum) will be performed using an in-house two-kilowatt CW Nd:YAG laser capable of irradiating samples at 10 kW/cm2 and producing sample heating rates of hundreds of degrees per second. Software to derive the Total Hemispherical Reflectance from BRDF measurements will be developed. The results will be applied to the design of a subscale device in Phase II and scalability to full deployment in a field environment for a Phase III device will be demonstrated.

Scientific Applications & Research Assoc. is a company that received a Department of Defense SBIR/STTR grant for a project entitled: Direct Diode Pumped Blue-Green Laser.  The abstract given for this project is as follows: Present Blue-Green lasers are inefficient (0.5 - 2.0 %) owing to the losses incurred by using multiple/cascaded solid-state and two or more nonlinear optical frequency conversion stages. We propose to develop a simpler approach to a blue-green efficient system: Single-state diode laser pump light in = blue-green laser pulses out To achieve this we will bring together advances in diode lasers/super-luminescent LEDs to provide ""in-band"" pumping of pulsed and frequency tunable gain media. The candidate systems emerged from a long term internal effort at SARA to identify new systems with output in the blue-green and other regions of the visible spectrum. SARA's corporate mission is to pursue new technologies and develop highly innovative applications for existing technologies. Within our laser system development projects we focus upon realizing the performance and efficiency inherent in entirely new and previously not well developed laser systems. In addition SARA is well versed in laser detection and tracking systems for applications with technologies including reflected light detection (optical LIDAR type missions), and the challenges facing the applications of lasers to underwater detection and tracking and optical communication in water.",Aerospace & Defense,,"Hydrogen Energy Tech, Aerospace & Space Tech",,,United States,,U.S. Department of Defense,,Grant - VII,10/22/2009,,0%,Alive / Active,,,
Mike Long & Associates,mlasales.com,"Mike Long & Associates is a manufacturers' representative agency focused on fluids storage and handling across various sectors. The company offers storage system components and accessories for fluids including fuel, DEF, grease, oil, antifreeze, AFFF, and water. Mike Long & Associates serves sectors that require fluid storage and management, including retail fuel, commercial fuel, vehicle maintenance, aviation, and marina fueling services. It was founded in 1990 and is based in Denver, North Carolina.",,,,,,United States,,,,,,,36.36%,Alive / Active,1990,,
Mic Sales,micsales.net,"Mic Sales is a representative and stocking distributor of process control instrumentation and industrial supplies. The company offers measurement and control products for various industries, including waste water treatment and pharmaceutical production. Mic Sales offers customer support and services to ensure the performance of its products. It is based in Memphis, Tennessee.",E-Commerce,,,,,United States,,,,,,,0%,Alive / Active,,,
Weber-Huff,weber-huff.com,"Weber-Huff is a manufacturer's representative firm specializing in hydronic HVAC systems. The company provides products such as boilers, pumps, circulators, heat exchangers, fan coil units, geothermal and water-source heat pumps, and cooling towers. Weber-Huff serves the commercial sector within its marketing territory. It was founded in 1970 and is based in West Chester, Ohio.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,1970,,
W.P. Haney Co,wphaney.com,"W.P. Haney Co. is a manufacturer's representative in the plumbing and heating industry. The company collaborates with manufacturers to provide products such as water filtration systems and fire tamper detection for backflow preventers. W.P. Haney Co. serves both residential and commercial sectors of this market. It was founded in 1977 and is based in South Easton, Massachusetts.",Wholesale,,,,,United States,,,,,,,0%,Alive / Active,1977,,
Waterlines,waterlinesinc.com,"Waterlines is a professional manufacturers' representative agency focusing on the pool, spa, and irrigation industries. The company offers sales coverage, marketing strategies, product demonstrations, and bilingual training sessions for backyard leisure products. Waterlines serves a wide range of customers including distributors, contractors, retailers, and OEMs across the East Coast. It was founded in 1985 and is based in North Haven, Connecticut.",Entertainment,,,,,United States,,,,,,,18.18%,Alive / Active,1985,,
Waterworks Systems & Equipment,waterworkssystems.com,"Waterworks Systems & Equipment is a Manufacturer's Representative firm specializing in the sale of process and treatment equipment within the Municipal and Industrial Water and Wastewater Treatment Industries. The company offers a range of equipment and solutions for drinking water, wastewater, and air quality challenges. Waterworks Systems & Equipment serves municipal and industrial markets. It is based in United States.",Renewables,,,,,United States,,,,,,,-25%,Alive / Active,,,
Westpoint Sales,westpoint.ca,"Westpoint Sales is a manufacturers' representative focusing on plumbing solutions for both residential and commercial sectors. The company offers products such as bathtubs, water closets, sinks, access doors, mixing valves, and eyewashes, and provides services including project specification. Westpoint Sales serves the plumbing and HVAC industry. It was founded in 1986 and is based in Vancouver, British Columbia.",Construction,,,,,Canada,,,,,,,0%,Alive / Active,1986,,
Elec-Tech Sales,electechsales.com,"Elec-Tech Sales is a Manufacturers Representative in the electrical industry. The company serves various sectors including forestry, mining, OEM, water, wastewater, and municipal markets. It was founded in 1984 and is based in Langley, British Columbia.",Appliances,,,,,Canada,,,,,,,20%,Alive / Active,1984,,
Engineered Processes,engpro.com,"Engineered Processes is a manufacturers representative firm focusing on solutions for the petrochemical and marine industries. The company offers air pollution control equipment, fiberglass gratings, and water treatment equipment related to VOC abatement and structural fiberglass products. Engineered Processes serves the upstream, midstream, and downstream sectors of the Texas Gulf Coast. It was founded in 1974 and is based in United States.",,,,,,United States,,,,,,,0%,Alive / Active,1974,,
Diversified Fluid Controls,diversifiedfluidcontrols.com,"Diversified Fluid Controls is a Stocking Manufacturers' Representative for Hydronic Heating, Ventilation, and Air Conditioning (HVAC) equipment in commercial and industrial facilities. The company provides products including pumps, heat exchangers, boilers, water heaters, and various HVAC system components. Diversified Fluid Controls serves end users, engineers, wholesalers, and contractors in the HVAC and plumbing sectors. It was founded in 1981 and is based in Fort Lauderdale, Florida.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,1981,,
Davis Sales Group,davissales.com,"Davis Sales Group is an independent manufacturer's representative in the wholesale plumbing, waterworks, and wastewater industries. The company provides representation for manufacturers, serving the wholesale sector and facilitating distribution for plumbing and waterworks manufacturers. It is based in Cleveland, Ohio.",Wholesale,,,,,United States,,,,,,,-33.33%,Alive / Active,,,
Power Tel Utility Products,ptupcorp.com,"Power Tel Utility Products is a manufacturer representative agency in the telecommunications, power, broadband, and water markets. The company provides sales representation, product demonstration, and training for utilities and manufacturers. It was founded in 1978 and is based in Safety Harbor, Florida.",,,,,,United States,,,,,,,-22.22%,Alive / Active,1978,,
Pumptech,pumptechsales.ca,"Pumptech Inc. is a manufacturer's representative firm focused on the pump, plumbing, and heating industries. The company provides technical and sales support for various product lines for manufacturers, distributors, contractors, and end users. Pumptech Inc. works with engineering firms to recommend products for specific applications in the water and wastewater sector. It is based in Portland, Oregon.",Appliances,,,,,United States,,,,,,,66.67%,Alive / Active,,,
Poly-Tuff Systems International,polytuffus.com,"Poly-Tuff Systems International develops and provides waterproofing systems and deck coatings within the architectural and decking industries. The company offers products including water curable elastomeric coatings that are solvent-free and TDI-free, designed for commercial and institutional applications. Poly-Tuff Systems' products are distributed through contractors and representatives, supported by a technical sales team. It is based in Las Vegas, Nevada.",Construction,,,,,United States,,,,,,,0%,Alive / Active,,,
Pyrz Water Supply Co,pyrzwater.com,"Pyrz Water Supply Co is a manufacturers' representative for water and wastewater equipment for municipal and industrial applications. The company offers products for water supply and wastewater treatment, focusing on solutions within the water and wastewater management industry. Pyrz Water Supply Co serves the municipal and industrial sectors. It is based in Harleysville, Pennsylvania.",,,,,,United States,,,,,,,0%,Alive / Active,,,
Pelton Environmental Products,peltonenv.com,"Pelton Environmental Products is a manufacturer's representative specializing in water and wastewater treatment solutions within the municipal sector. The company offers a range of products including process, chemical feed, and rotating equipment for this industry. It was founded in 1992 and is based in Lewis Center, Ohio.",,,,,,United States,,,,,,,0%,Alive / Active,1992,,
P J Operating,pjoperating.com,"P J Operating is a manufacturer's representative organization that operates within the oil, gas, industrial, and wastewater markets. The company provides representation and distribution services for various manufacturers and offers structural epoxy coatings and other products for wastewater collections and treatment facilities. P J Operating serves sectors requiring oil and gas equipment, industrial supplies, and wastewater treatment. It was founded in 1987 and is based in Wooster, Ohio.",,,,,,United States,,,,,,,50%,Alive / Active,1987,,
JMB & ASSOCIATES,jmb-assoc.com,"JMB & Associates is a manufacturers representative, stocking distributor, and service company in the HVAC, water, wastewater, and medical technology sectors. The company specializes in selling and servicing variable frequency drives, critical room controls, various types of meters, air flow stations, and gas detection systems. JMB & Associates provides service and offers products such as phase converters, VFD accessories, and electronic transducers. It was founded in 1991 and is based in Menomonee Falls, Wisconsin.",Construction,,,,,United States,,,,,,,0%,Alive / Active,1991,,
Jenex,jenex.co.uk,"Jenex Ltd specializes in the procurement and supply of valves, pumps, liquid level control, and tank gauging equipment for various industries. The company offers products and technical support to the Oil & Gas, Water, and Petrochemical sectors, as well as Global Engineering organizations. Jenex Ltd serves as the U.K. & European Authorised Stockist/Distributor and Representative for several major brands, ensuring a supply service to meet client specifications. It is based in Chobham, England.",,,,,,United Kingdom,,,,,,,0%,Alive / Active,,,
"Associated Steam, Air & Hot Water",associatedsteam.com,"Associated Steam, Air & Hot Water is a manufacturers' representative in the fluid specialty and heat transfer product sectors. The company offers products and services for steam, water, and air systems, including application engineering, thermal assessments, steam trap audits, and troubleshooting. Associated Steam, Air & Hot Water serves industries requiring thermal utility solutions, such as manufacturing and facility management. It was founded in 1954 and is based in Aston, Pennsylvania.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,1954,,
Automatic Controls Co,automaticcontrolsky.com,"Automatic Controls Co is a manufacturer's representative agency and distributorship for instruments, measurement equipment, and controls systems used in various manufacturing applications. The company provides products including process measurement, facility and utility metering, instrumentation, and maintenance sensors and systems. They serve sectors such as automotive, power, utility, food and pharmaceuticals, tobacco, chemicals, metals, wood products, and water applications. It is based in Louisville, Kentucky.",Machinery & Equipment,,,,,United States,,,,,,,100%,Alive / Active,,,
Alliance Technical Sales,alliancets.com,"Alliance Technical Sales is a manufacturers' representative and distributor specializing in process control and analytical instrumentation. The company serves sectors such as refining and petrochemical, chemical processing, food and beverage, power generation, pharmaceutical and biotech, semiconductor and microelectronics, and water and environmental industries. It was founded in 2000 and is based in Clarendon Hills, Illinois.",Manufacturing,Industrial Equipment & Component Manufacturing,,,,United States,,,,,,,0%,Alive / Active,2000,,
Fontana Metal Sales,fontanametalsales.com,"Fontana Metal Sales is a professional sales representative firm focused on the construction industry. The company offers sales services for construction materials and provides design assistance, project estimates, and delivery expediting for various construction projects. Fontana Metal Sales primarily serves sectors such as transportation, sewage and water treatment, educational institutions, utilities, and commercial buildings. It is based in Islandia, New York.",Construction,,,,,United States,,,,,,,0%,Alive / Active,,,
Charles P. Crowley Company,cpcrowley.com,"Charles P. Crowley Company is a manufacturers' representative and systems integrator that provides engineered equipment for various sectors. The company provides products and services including pumping and mixing solutions, chemical feed systems integration, and project support such as estimating, engineering, and field service. Charles P. Crowley Company serves the municipal water and wastewater, power, food and beverage, petrochemical, and industrial process markets. It was founded in 1932 and is based in Irwindale, California.",,,,,,United States,,,,,,,20%,Alive / Active,1932,,
DuBois-Cooper Associates,duboiscooper.com,"DuBois-Cooper Associates is a manufacturers' representative firm in the water and wastewater infrastructure sector. The company provides products and services such as pumps and treatment equipment, as well as process design. DuBois-Cooper serves the resource recovery and treatment needs of the Michigan region. It was founded in 1950 and is based in Plymouth, Michigan.",,,,,,United States,,,,,,,0%,Alive / Active,1950,,
C & D Municipal Sales,c-dmunicipal.com,"C & D Municipal Sales is a manufacturer's representative firm that provides water and wastewater equipment solutions for municipal and industrial markets. It was founded in 1996 and is based in Baltimore, Maryland.",,,,,,United States,,,,,,,0%,Alive / Active,1996,,
AMBIENTE H2O,ambienteh2o.com,"AMBIENTE H2O is a manufacturer representative firm in the water and wastewater industries. The company provides products and services including water and wastewater treatment, process instrumentation, pumps, aeration, chemical feed, sludge handling, and screening. It was founded in 2006 and is based in Sheridan, Colorado.",,,,,,United States,,,,,,,10%,Alive / Active,2006,,
The Water Expo,thewaterexpo.com,"The Water Expo is a trade show focused on presenting equipment, technologies, products, and know-how for the wastewater, sewer infrastructure, environmental services, portable sanitation, water quality, and high-pressure industries. The event allows exhibitors and sponsors to present their offerings and attendees to learn about industry advancements through demonstrations, sessions, and courses. It aims to connect manufacturers and distributors with buyers, professionals, dealers, operators, contractors, and potential representatives from Latin America, the Caribbean, and the United States. It was founded in 2000 and is based in Fort Lauderdale, Florida.",,,,,,United States,,,,,,,100%,Alive / Active,2000,,
Tower Hill Sales Associates,towerhillsales.com,"Tower Hill Sales Associates is a manufacturers representative in the plumbing and HVAC industry. The company offers products including commercial water heaters, corrosion resistant couplings, and healthcare plumbing fixtures. Tower Hill Sales Associates serves sectors that require plumbing and HVAC solutions, including healthcare facilities and commercial buildings. It was founded in 1992 and is based in Auburn, New Hampshire.",Manufacturing,Industrial Machinery & Equipment Distribution,,,,United States,,,,,,,0%,Alive / Active,1992,,
MULCAHY & ASSOCIATES,mulcahyassociates.com,"Mulcahy & Associates is a manufacturer's representative sales firm specializing in the municipal water and sewer pipeline market. The company offers services that include expanding the customer base for manufacturing companies within Florida's waterworks distributors and ensuring the acceptance of new products in municipal specifications. It is based in Seffner, Florida.",,,,,,United States,,,,,,,0%,Alive / Active,,,
Riada Sales,riada.ca,"Riada Sales is a manufacturer's representative specializing in HVAC equipment, instrumentation, and plumbing products within the commercial, institutional, and multi-family residential sectors. The company offers systems including heat pump water heaters, solar thermal systems, wastewater heat recovery, rainwater harvesting systems, and district energy systems, along with services such as engineering assistance and startup services. It was founded in 1995 and is based in Burnaby, British Columbia.",Construction,,,,,Canada,,,,,,,0%,Alive / Active,1995,,
Cimco Sales & Marketing,cimcopnw.com,"Cimco Sales & Marketing is a manufacturer representative focusing on the irrigation, water, and wastewater industries. The company offers products such as valve boxes, fittings, and spacers, and serves the irrigation and water/wastewater sectors in the Pacific Northwest and Western Canada. It was founded in 1981 and is based in Puyallup, Washington.",Wholesale,,,,,United States,,,,,,,18.18%,Alive / Active,1981,,
Owens Pump & Equipment,owenspump.com,"Owens Pump & Equipment is a manufacturers representative and distributor of pumps and process equipment for various sectors. The company provides products including industrial and municipal pumps, wastewater and water treatment equipment, and controls and instrumentation for these systems. Owens Pump & Equipment serves the industrial, municipal water and wastewater, and food and beverage industries. It was founded in 2012 and is based in Canby, Oregon.",Wholesale,,,,,United States,,,,,,,0%,Alive / Active,2012,,
ACECO,acecosales.com,"ACECO is an industrial sales representative firm that provides products and instrumentation for various industrial sectors. The company offers sales representation for manufacturers and distributors, ensuring customer-based solutions with manufactured products and customer service. ACECO serves sectors such as chemical refining, power generation, engineering, pulp & paper, water & wastewater, and oil & gas. It was founded in 2018 and is based in Saint Francisville, Louisiana.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,2018,,
GROUPONE NORTHEAST,grouponene.com,"GroupOne Northeast Inc. is a manufacturers' representative agency focusing on the plumbing, water systems, waste-water systems, and Kitchen & Bath showrooms sectors. The company offers support and services to manufacturers and distributors. They also provide training services. It is based in Poughkeepsie, New York.",Wholesale,,,,,United States,,,,,,,20%,Alive / Active,,,
Sherwood-Logan and Associates,sherwoodlogan.com,"Sherwood-Logan and Associates is a manufacturers representative and systems integrator focused on water and wastewater treatment equipment within the environmental sector. The company offers services including equipment start-up, training, and controls systems integration, primarily serving the municipal wastewater and water market. Sherwood-Logan and Associates serves the Mid-Atlantic region. It was founded in 1980 and is based in Annapolis, Maryland.",,,,,,United States,,,,,,,32.26%,Alive / Active,1980,,
RJM Sales,rjmsales.com,"RJM Sales is a manufacturer representative and distribution company that provides industrial and laboratory instrumentation and controls. The company offers products such as flow, level, pressure, and temperature measurement devices, gas detection equipment, and laboratory automation tools. RJM Sales serves sectors including food, pharmaceuticals, oil & gas, chemical, power generation, and water/wastewater industries. It was founded in 1970 and is based in Somerset, New Jersey.",Machinery & Equipment,,,,,United States,,,,,,,11.11%,Alive / Active,1970,,
"Latchaw, Montgomery, and Peck",lmpsales.com,"Latchaw, Montgomery, and Peck is a manufacturers' sales representative firm in the plumbing and heating industry. The company provides technical expertise, distributor training, and job start-up consultation. LMP serves wholesale distributors in the plumbing, heating, wastewater, water-well, and irrigation sectors. It was founded in 1958 and is based in Malvern, Pennsylvania.",Wholesale,,,,,United States,,,,,,,8.33%,Alive / Active,1958,,
Japan Best Rescue System,jbr.co.jp,"Japan Best Rescue System (TYO: 2453) offers nationwide ""living emergencies"" services to resolve any life issues throughout the year. Through its problem-solving services, the company responds to many types of difficulties, such as those relating to keys, water, windows, and computers. JBR also provides a ""company partnership business"" by operating call centers and sending representatives on behalf of partner companies. In addition, JBR offers various memberships for providing support in case of trouble.",Personal,,,,,Japan,,"JAFCO, MUFG Bank, Meitetsu Group, Mizuho Capital, Nagoya Small and Medium Business Investment & Consultation, ORIX Capital, Shinkin Capital, Shobunsha Publications",,Series A,9/30/2004,,0%,Alive / Active,1997,,
Schu Marketing Associates,schumarketing.com,"Schu Marketing Associates is a manufacturers' representative firm in the construction industry. The company provides products including water management systems, plumbing fixtures, safety equipment, and tools, as well as pre and post construction services. Schu Marketing serves sectors that require plumbing, safety, and architectural products. It was founded in 1992 and is based in Brooklyn Park, Minnesota.",Construction,,,,,United States,,,,,,,0%,Alive / Active,1992,,
ADHESION SCIENCES,adhesionsciences.com,"Adhesion Sciences is a manufacturer representative agency and consultant for adhesive solutions in the packaging, paper converting, graphic arts, bottle labeling, product assembly, and woodworking industries. The company provides products including hot melt, water-based, and reactive adhesives, as well as metering rods, dust cleaning systems, rubber and polyurethane rollers, and ultrasonic washers for various industrial applications. Adhesion Sciences serves sectors that require adhesive and printing solutions. It is based in Yorba Linda, California.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,,,
THE ESHELMAN COMPANY,eshelmancompany.com,"The Eshelman Company is a manufacturer representative for the industrial, utility, and municipal markets. Their services include marketing products and offering treatment solutions for industrial, potable water, and wastewater applications. They also provide design assistance, including CAD supported layout and orientation, specifications preparation, and process and system head curve analysis. It is based in Birmingham, Alabama.",,,,,,United States,,,,,,,14.29%,Alive / Active,,,
Flow Control Automation,flowcontrolautomation.com,"Flow Control Automation is a manufacturer's representative and distributor specializing in flow control and automation products within the municipal water/wastewater and industrial sectors. The company offers a range of products including valves, actuators, flow meters, instrumentation, and pressure monitoring equipment designed to manage and measure fluid movement and control in various applications. It was founded in 2019 and is based in Clear Lake, South Dakota.",,,,,,United States,,,,,,,0%,Alive / Active,2019,,
Faco,facollc.com,"Faco is a manufacturer representative company specializing in heating, ventilating, and air conditioning (HVAC) systems. They offer components for HVAC systems, parts for wastewater and water treatment processes, and support for various applications. Faco serves sectors including commercial construction, municipal water and wastewater facilities, and industrial operations. It was founded in 1965 and is based in Indianapolis, Indiana.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,1965,,
Peterson & Matz,petersonandmatz.com,"Peterson & Matz is a manufacturers' representative firm specializing in municipal and industrial water and wastewater treatment. The company offers process-oriented equipment and technologies for engineered solutions in water treatment. Peterson & Matz primarily serves consulting engineers, municipalities, and regulation-driven industries. It is based in Farmington Hills, Michigan.",,,,,,United States,,,,,,,16.67%,Alive / Active,,,
INSTRUMENT SPECIALTIES,isisales.com,"Instrument Specialties Inc. (ISI) is a manufacturer’s representative and distributor of municipal, commercial, and industrial instrumentation. ISI provides products such as flow, level, pressure, and temperature measurement devices, along with analytical instrumentation accessories, alarm systems, and valves. The company serves sectors including aerospace, power generation, water and wastewater management, food and beverage processing, chemical processing, and pulp and paper manufacturing. It was founded in 1986 and is based in Sanford, Florida.",Manufacturing,,,,,United States,,,,,,,0%,Alive / Active,1986,,
Metro Building Solutions,metrobuilding.biz,"Metro Building Solutions is an architectural manufacturer's representative agency specializing in exterior building envelope solutions within the construction industry. The company provides products and services such as rainscreen cladding, air and water barriers, thermal insulation, waterproofing systems, expansion joint systems, and translucent daylighting solutions. Metro Building Solutions serves architects, developers, distributors, engineers, facade consultants, general contractors, installers, and building owners. It was founded in 2003 and is based in Flemington, Victoria.",Construction,,,,,Australia,,,,,,,0%,Alive / Active,2003,,
A-Kumppanit,a-kumppanit.fi,"A-Kumppanit provides property maintenance services in the real estate sector. The company responds to emergencies related to water damage and offers remediation services, using environmentally friendly products for mold removal and moisture control in both indoor and outdoor settings. A-Kumppanit works with property owners and their representatives. It was founded in 2007 and is based in Vantaa, Finland.",Facilities,,,,,Finland,,,,,,,0%,Alive / Active,2007,,
